id|url|title|summary|date_published|reader|writer|reader_wikidata|writer_wikidata
akhil-sharma-reads-joyce-carol-oates|https://www.newyorker.com/podcast/fiction/akhil-sharma-reads-joyce-carol-oates|Akhil Sharma Reads Joyce Carol Oates|The author joins Deborah Treisman to read and discuss the story “Zombie,” which was published in a 1994 issue of the magazine.|2022-07-01|Akhil Sharma|Joyce Carol Oates|Q4700740|Q217557
rachel-kushner-reads-edna-obrien|https://www.newyorker.com/podcast/fiction/rachel-kushner-reads-edna-obrien|Rachel Kushner Reads Edna O’Brien|The author joins Deborah Treisman to read and discuss “Come Into the Drawing Room, Doris,” by Edna O’Brien, which was published in a 1962 issue of the magazine.|2022-06-01|Rachel Kushner|Edna O’Brien|Q7279300|Q178225
camille-bordas-reads-saul-bellow|https://www.newyorker.com/podcast/fiction/camille-bordas-reads-saul-bellow|Camille Bordas Reads Saul Bellow|The author joins Deborah Treisman to read and discuss “A Father-to-Be,” by Saul Bellow, which was published in a 1955 issue of the magazine.|2022-05-01|Camille Bordas|Saul Bellow|Q2934870|Q83059
sherman-alexie-reads-raymond-carver|https://www.newyorker.com/podcast/fiction/sherman-alexie-reads-raymond-carver|Sherman Alexie Reads Raymond Carver|The author joins Deborah Treisman to read and discuss “Where I’m Calling From,” by Raymond Carver, which was published in a 1982 issue of the magazine.|2022-04-01|Sherman Alexie|Raymond Carver|Q727331|Q219862
gish-jen-reads-grace-paley|https://www.newyorker.com/podcast/fiction/gish-jen-reads-grace-paley|Gish Jen Reads Grace Paley|The author joins Deborah Treisman to read and discuss “Friends,” by Grace Paley, which was published in a 1979 issue of the magazine.|2022-03-01|Gish Jen|Grace Paley|Q5564935|Q443966
alejandro-zambra-reads-bruno-schulz|https://www.newyorker.com/podcast/fiction/alejandro-zambra-reads-bruno-schulz|Alejandro Zambra Reads Bruno Schulz|The author joins Deborah Treisman to read and discuss “Loneliness,” by Bruno Schulz, which was published in a 1977 issue of the magazine.|2022-02-01|Alejandro Zambra|Bruno Schulz|Q554224|Q148886
kevin-barry-reads-v-s-pritchett|https://www.newyorker.com/podcast/fiction/kevin-barry-reads-v-s-pritchett|Kevin Barry Reads V. S. Pritchett|The author joins Deborah Treisman to read and discuss “A Family Man,” by V. S. Pritchett, which was published in a 1977 issue of the magazine.|2022-01-01|Kevin Barry|V. S. Pritchett|Q6395795|Q1885875
will-mackin-reads-george-saunders|https://www.newyorker.com/podcast/fiction/will-mackin-reads-george-saunders|Will Mackin Reads George Saunders|The author joins Deborah Treisman to read and discuss “The Falls,” by George Saunders, which was published in a 1996 issue of the magazine.|2021-12-01|Will Mackin|George Saunders||Q1251926
ben-lerner-reads-julio-cortazar|https://www.newyorker.com/podcast/fiction/ben-lerner-reads-julio-cortazar|Ben Lerner Reads Julio Cortázar|The author joins Deborah Treisman to read and discuss “In the Name of Bobby,” by Julio Cortázar, which was published in a 1979 issue of the magazine.|2021-11-01|Ben Lerner|Julio Cortázar|Q1836356|Q174210
donald-antrim-reads-donald-barthelme-the-balloon|https://www.newyorker.com/podcast/fiction/donald-antrim-reads-donald-barthelme-the-balloon|Donald Antrim Reads Donald Barthelme|The author joins Deborah Treisman to read and discuss “The Balloon,” by Donald Barthelme, which was published in a 1966 issue of the magazine.|2021-10-01|Donald Antrim|Donald Barthelme|Q714153|Q353869
rebecca-curtis-reads-haruki-murakami|https://www.newyorker.com/podcast/fiction/rebecca-curtis-reads-haruki-murakami|Rebecca Curtis Reads Haruki Murakami|The author joins Deborah Treisman to read and discuss “Confessions of a Shinagawa Monkey,” by Haruki Murakami, which was published in a 2020 issue of the magazine.|2021-09-01|Rebecca Curtis|Haruki Murakami|Q7301712|Q134798
ann-patchett-reads-maile-meloy|https://www.newyorker.com/podcast/fiction/ann-patchett-reads-maile-meloy|Ann Patchett Reads Maile Meloy|The author joins Deborah Treisman to read and discuss “The Proxy Marriage,” by Maile Meloy, which was published in a 2012 issue of the magazine.|2021-08-01|Ann Patchett|Maile Meloy|Q433485|Q541890
susan-choi-reads-jennifer-egan|https://www.newyorker.com/podcast/fiction/susan-choi-reads-jennifer-egan|Susan Choi Reads Jennifer Egan|The author joins Deborah Treisman to read and discuss “Found Objects,” by Jennifer Egan, which was published in a 2007 issue of the magazine.|2021-07-01|Susan Choi|Jennifer Egan|Q7647669|Q264283
ben-okri-reads-franz-kafka|https://www.newyorker.com/podcast/fiction/ben-okri-reads-franz-kafka|Ben Okri Reads Franz Kafka|The author joins Deborah Treisman to read and discuss “The Rescue Will Begin in Its Own Time,” four short fiction pieces by Franz Kafka, which appeared in a 2020 issue of the magazine.|2021-06-01|Ben Okri|Franz Kafka|Q315362|Q905
tea-obreht-reads-thomas-mcguane|https://www.newyorker.com/podcast/fiction/tea-obreht-reads-thomas-mcguane|Téa Obreht Reads Thomas McGuane|The author joins Deborah Treisman to read and discuss “Gallatin Canyon,” by Thomas McGuane, which appeared in a 2003 issue of the magazine.|2021-05-01|Téa Obreht|Thomas Mcguane|Q439226|Q2265116
weike-wang-reads-lara-vapnyar|https://www.newyorker.com/podcast/fiction/weike-wang-reads-lara-vapnyar|Weike Wang Reads Lara Vapnyar|The author joins Deborah Treisman to read and discuss “Katania,” by Lara Vapnyar, which appeared in a 2013 issue of the magazine.|2021-04-01|Weike Wang|Lara Vapnyar|Q53411106|Q6488602
douglas-stuart-reads-kevin-barry|https://www.newyorker.com/podcast/fiction/douglas-stuart-reads-kevin-barry|Douglas Stuart Reads Kevin Barry|The author joins Deborah Treisman to read and discuss “Fjord of Killary,” by Kevin Barry, which appeared in a 2010 issue of the magazine.|2021-03-01|Douglas Stuart|Kevin Barry|Q99395310|Q6395795
hisham-matar-reads-colm-toibin|https://www.newyorker.com/podcast/fiction/hisham-matar-reads-colm-toibin|Hisham Matar Reads Colm Tóibín|The author joins Deborah Treisman to read and discuss “One Minus One,” by Colm Tóibín, which appeared in a 2007 issue of the magazine.|2021-02-01|Hisham Matar|Colm Tóibín|Q673985|Q470758
chang-rae-lee-reads-steven-millhauser|https://www.newyorker.com/podcast/fiction/chang-rae-lee-reads-steven-millhauser|Chang-rae Lee Reads Steven Millhauser|The author joins Deborah Treisman to read and discuss “Coming Soon,” by Steven Millhauser, which appeared in a 2013 issue of the magazine.|2021-01-01|Chang-Rae Lee|Steven Millhauser|Q533256|Q640807
samantha-hunt-reads-yiyun-li|https://www.newyorker.com/podcast/fiction/samantha-hunt-reads-yiyun-li|Samantha Hunt Reads Yiyun Li|The author joins Deborah Treisman to read and discuss “A Sheltered Woman,” by Yiyun Li, from a 2014 issue of the magazine.|2020-12-01|Samantha Hunt|Yiyun Li|Q16213564|Q460088
elizabeth-strout-reads-william-trevor|https://www.newyorker.com/podcast/fiction/elizabeth-strout-reads-william-trevor|Elizabeth Strout Reads William Trevor|The author joins Deborah Treisman to read and discuss “Bravado,” by William Trevor, from a 2007 issue of the magazine.|2020-11-01|Elizabeth Strout|William Trevor|Q262712|Q528826
zz-packer-reads-lesley-nneka-arimah|https://www.newyorker.com/podcast/fiction/zz-packer-reads-lesley-nneka-arimah|ZZ Packer Reads Lesley Nneka Arimah|The author joins Deborah Treisman to read and discuss “Who Will Greet You at Home,” by Lesley Nneka Arimah, from a 2015 issue of the magazine.|2020-10-01|Zz Packer|Lesley Nneka Arimah|Q8063320|Q45849301
david-gilbert-reads-samantha-hunt|https://www.newyorker.com/podcast/fiction/david-gilbert-reads-samantha-hunt|David Gilbert Reads Samantha Hunt|The author joins Deborah Treisman to read and discuss “Three Days,” by Samantha Hunt, from a 2006 issue of the magazine.|2020-09-01|David Gilbert|Samantha Hunt|Q17385807|Q16213564
tommy-orange-reads-louise-erdrich|https://www.newyorker.com/podcast/fiction/tommy-orange-reads-louise-erdrich|Tommy Orange Reads Louise Erdrich|The author joins Deborah Treisman to read and discuss “The Years of My Birth,” by Louise Erdrich, from a 2011 issue of the magazine.|2020-08-01|Tommy Orange|Louise Erdrich|Q63341394|Q442679
allegra-goodman-reads-eudora-welty|https://www.newyorker.com/podcast/fiction/allegra-goodman-reads-eudora-welty|Allegra Goodman Reads Eudora Welty|The author joins Deborah Treisman to read and discuss “No Place for You, My Love,” by Eudora Welty, from a 1952 issue of the magazine.|2020-07-01|Allegra Goodman|Eudora Welty|Q4731395|Q259364
bryan-washington-reads-haruki-murakami|https://www.newyorker.com/podcast/fiction/bryan-washington-reads-haruki-murakami|Bryan Washington Reads Haruki Murakami|The author joins Deborah Treisman to read and discuss “U.F.O. in Kushiro,” by Haruki Murakami, from a 2001 issue of the magazine.|2020-06-01|Bryan Washington|Haruki Murakami|Q95986964|Q134798
kristen-roupenian-reads-shirley-jackson|https://www.newyorker.com/podcast/fiction/kristen-roupenian-reads-shirley-jackson|Kristen Roupenian Reads Shirley Jackson|The author joins Deborah Treisman to read and discuss “Afternoon in Linen,” by Shirley Jackson, from a 1943 issue of the magazine.|2020-05-01|Kristen Roupenian|Shirley Jackson|Q56751761|Q239910
deborah-treisman-reads-david-foster-wallace|https://www.newyorker.com/podcast/fiction/deborah-treisman-reads-david-foster-wallace|Deborah Treisman Reads David Foster Wallace|The New Yorker fiction editor reads and discusses “Good People,” by David Foster Wallace, from a 2007 issue of the magazine.|2020-04-01|Deborah Treisman|David Foster Wallace|Q113960789|Q313246
greg-jackson-reads-ann-beattie|https://www.newyorker.com/podcast/fiction/greg-jackson-reads-ann-beattie|Greg Jackson Reads Ann Beattie|The author joins Deborah Treisman to read and discuss “Where You’ll Find Me,” by Ann Beattie, from a 1986 issue of the magazine.|2020-03-01|Greg Jackson|Ann Beattie|Q76436988|Q452145
david-rabe-reads-john-updike|https://www.newyorker.com/podcast/fiction/david-rabe-reads-john-updike|David Rabe Reads John Updike|The author joins Deborah Treisman to read and discuss “The Other Side of the Street,” by John Updike, from a 1991 issue of the magazine.|2020-02-01|David Rabe|John Updike|Q497375|Q105756
andrea-lee-reads-haruki-murakami|https://www.newyorker.com/podcast/fiction/andrea-lee-reads-haruki-murakami|Andrea Lee Reads Haruki Murakami|The author joins Deborah Treisman to read and discuss “Barn Burning,” by Haruki Murakami, from a 1992 issue of the magazine.|2020-01-01|Andrea Lee|Haruki Murakami|Q4755150|Q134798
a-decade-of-the-new-yorker-fiction-podcast|https://www.newyorker.com/culture/decade-in-review/a-decade-of-the-new-yorker-fiction-podcast|A Decade of the New Yorker Fiction Podcast|The past decade’s episodes have offered an unrivalled opportunity to dive into the thinking both of the authors of the stories and of the writers who chose them.|2019-12-24|A Decade Of The New Yorker Fiction Podcast|Unknown||
ann-beattie-reads-mavis-gallant|https://www.newyorker.com/podcast/fiction/ann-beattie-reads-mavis-gallant|Ann Beattie Reads Mavis Gallant|The author joins Deborah Treisman to read and discuss “Dédé,” by Mavis Gallant, from a 1987 issue of the magazine.|2019-12-01|Ann Beattie|Mavis Gallant|Q452145|Q2550824
garth-greenwell-reads-jean-stafford|https://www.newyorker.com/podcast/fiction/garth-greenwell-reads-jean-stafford|Garth Greenwell Reads Jean Stafford|The author joins Deborah Treisman to read and discuss “The Shorn Lamb,” by Jean Stafford, from a 1953 issue of the magazine.|2019-11-01|Garth Greenwell|Jean Stafford|Q5524350|Q290633
jhumpa-lahiri-reads-primo-levi|https://www.newyorker.com/podcast/fiction/jhumpa-lahiri-reads-primo-levi|Jhumpa Lahiri Reads Primo Levi|The author joins Deborah Treisman to read and discuss “Quaestio De Centauris,” by Primo Levi, from a 2015 issue of the magazine.|2019-10-01|Jhumpa Lahiri|Primo Levi|Q465208|Q153670
etgar-keret-reads-janet-frame|https://www.newyorker.com/podcast/fiction/etgar-keret-reads-janet-frame|Etgar Keret Reads Janet Frame|The author joins Deborah Treisman to read and discuss “You Are Now Entering the Human Heart,” by Janet Frame, from a 1969 issue of the magazine.|2019-09-01|Etgar Keret|Janet Frame|Q378882|Q241215
margaret-atwood-reads-alice-munro|https://www.newyorker.com/podcast/fiction/margaret-atwood-reads-alice-munro|Margaret Atwood Reads Alice Munro|Margaret Atwood joins Deborah Treisman to read and discuss “Corrie,” by Alice Munro, from a 2010 issue of the magazine.|2019-08-01|Margaret Atwood|Alice Munro|Q183492|Q234819
kirstin-valdez-quade-reads-john-lheureux|https://www.newyorker.com/podcast/fiction/kirstin-valdez-quade-reads-john-lheureux|Kirstin Valdez Quade Reads John L’Heureux|The author joins Deborah Treisman to read and discuss “The Long Black Line,” by John L’Heureux, from a 2018 issue of the magazine.|2019-07-01|Kirstin Valdez Quade|John L’Heureux|Q20891036|Q16939546
andrew-sean-greer-reads-dorothy-parker|https://www.newyorker.com/podcast/fiction/andrew-sean-greer-reads-dorothy-parker|Andrew Sean Greer Reads Dorothy Parker|The author joins Deborah Treisman to read and discuss “I Live on Your Visits,” by Dorothy Parker, from a 1955 issue of the magazine.|2019-06-03|Andrew Sean Greer|Dorothy Parker|Q457601|Q270707
emma-cline-reads-miranda-july|https://www.newyorker.com/podcast/fiction/emma-cline-reads-miranda-july|Emma Cline Reads Miranda July|Emma Cline joins Deborah Treisman to read and discuss “The Metal Bowl,” by Miranda July, from a 2017 issue of the magazine.|2019-05-01|Emma Cline|Miranda July|Q26023376|Q256671
marisa-silver-reads-daniyal-mueenuddin|https://www.newyorker.com/podcast/fiction/marisa-silver-reads-daniyal-mueenuddin|Marisa Silver Reads Daniyal Mueenuddin|Marisa Silver joins Deborah Treisman to read and discuss “Nawabdin Electrician,” by Daniyal Mueenuddin, from a 2007 issue of the magazine.|2019-04-01|Marisa Silver|Daniyal Mueenuddin|Q3293710|
joy-williams-reads-don-delillo|https://www.newyorker.com/podcast/fiction/joy-williams-reads-don-delillo|Joy Williams Reads Don DeLillo|Joy Williams joins Deborah Treisman to read and discuss “The Itch,” by Don DeLillo, from a 2017 issue of the magazine.|2019-03-01|Joy Williams|Don Delillo|Q6297286|Q310048
joseph-oneill-reads-nadine-gordimer|https://www.newyorker.com/podcast/fiction/joseph-oneill-reads-nadine-gordimer|Joseph O’Neill Reads Nadine Gordimer|The writer joins Deborah Treisman to read and discuss “The Pet,” by Nadine Gordimer, from a 1962 issue of the magazine.|2019-02-01|Joseph O’Neill|Nadine Gordimer|Q6285886|Q47619
orhan-pamuk-reads-jorge-luis-borges|https://www.newyorker.com/podcast/fiction/orhan-pamuk-reads-jorge-luis-borges|Orhan Pamuk Reads Jorge Luis Borges|The writer joins Deborah Treisman to read and discuss “Ibn Hakkan Al-Bokhari, Dead in his Labyrinth,” by Jorge Luis Borges, from a 1970 issue of the magazine.|2019-01-02|Orhan Pamuk|Jorge Luis Borges|Q241248|Q909
dave-eggers-reads-sam-shepard|https://www.newyorker.com/podcast/fiction/dave-eggers-reads-sam-shepard|Dave Eggers Reads Sam Shepard|The writer joins Deborah Treisman to read and discuss “Indianapolis (Highway 74),” by Sam Shepard, from a 2009 issue of the magazine.|2018-12-01|Dave Eggers|Sam Shepard|Q589497|Q294583
stuart-dybek-reads-steven-millhauser|https://www.newyorker.com/podcast/fiction/stuart-dybek-reads-steven-millhauser|Stuart Dybek Reads Steven Millhauser|The writer joins Deborah Treisman to read and discuss “Miracle Polish,” by Steven Millhauser, from a 2011 issue of the magazine.|2018-11-01|Stuart Dybek|Steven Millhauser|Q7626494|Q640807
