wid|person|personLabel|photo|genderLabel|citizenshipLabel|sitelink|lccn|description|birth|pPrize
Q1230809|http://www.wikidata.org/entity/Q1230809|Shirley Hazzard|http://commons.wikimedia.org/wiki/Special:FilePath/Shirley%20hazzard%20australian%20writer%20mercantile%20library%20for%20fiction%20benefit%20awards%20dinner%20october%2029%202007%20photo%20by%20christopher%20peterson.jpg|female|United States of America|https://en.wikipedia.org/wiki/Shirley_Hazzard|n79108321|Australian-Anglo-American novelist, short story writer, memoirist, non-fiction writer|1931-01-30T00:00:00Z|false
Q966228|http://www.wikidata.org/entity/Q966228|Colum McCann|http://commons.wikimedia.org/wiki/Special:FilePath/Colum%20McCann%20by%20David%20Shankbone.jpg|male|Ireland|https://en.wikipedia.org/wiki/Colum_McCann|n95046994|Irish writer and journalist|1965-02-28T00:00:00Z|false
Q966228|http://www.wikidata.org/entity/Q966228|Colum McCann|http://commons.wikimedia.org/wiki/Special:FilePath/Colum%20McCann%20by%20David%20Shankbone.jpg|male|United States of America|https://en.wikipedia.org/wiki/Colum_McCann|n95046994|Irish writer and journalist|1965-02-28T00:00:00Z|false
Q673985|http://www.wikidata.org/entity/Q673985|Hisham Matar|http://commons.wikimedia.org/wiki/Special:FilePath/Hisham%20Matar.jpg|male|United States of America|https://en.wikipedia.org/wiki/Hisham_Matar|n2006064193|American writer|1970-01-01T00:00:00Z|false
Q816553|http://www.wikidata.org/entity/Q816553|Ben Marcus|http://commons.wikimedia.org/wiki/Special:FilePath/Ben%20marcus%203041200.JPG|male|United States of America|https://en.wikipedia.org/wiki/Ben_Marcus|n95009798|American writer|1967-10-11T00:00:00Z|false
Q984415|http://www.wikidata.org/entity/Q984415|James Purdy|http://commons.wikimedia.org/wiki/Special:FilePath/Van%20Vechten%2C%20Carl%20-%20Portrait%20of%20writer%20James%20Purdy%20%281957%29.jpg|male|United States of America|https://en.wikipedia.org/wiki/James_Purdy|n79054478|writer|1914-07-17T00:00:00Z|false
Q533256|http://www.wikidata.org/entity/Q533256|Chang-Rae Lee|http://commons.wikimedia.org/wiki/Special:FilePath/Chang-rae%20Lee%20at%20UMich.jpg|male|United States of America|https://en.wikipedia.org/wiki/Chang-Rae_Lee|n94076232|novelist|1965-07-29T00:00:00Z|false
Q560733|http://www.wikidata.org/entity/Q560733|Harold Brodkey|http://commons.wikimedia.org/wiki/Special:FilePath/Harold%20Brodkey-New%20Yorker.jpg|male|United States of America|https://en.wikipedia.org/wiki/Harold_Brodkey|n84123703|writer|1930-10-25T00:00:00Z|false
Q622232|http://www.wikidata.org/entity/Q622232|Lionel Shriver|http://commons.wikimedia.org/wiki/Special:FilePath/Lionel%20Shriver%20at%20Cannes.jpg|female|United States of America|https://en.wikipedia.org/wiki/Lionel_Shriver|n86006080|American writer|1957-05-18T00:00:00Z|false
Q598494|http://www.wikidata.org/entity/Q598494|Sam Lipsyte|http://commons.wikimedia.org/wiki/Special:FilePath/Sam%20Lipsyte%200552.JPG|male|United States of America|https://en.wikipedia.org/wiki/Sam_Lipsyte|no00064708|Novelist, short story writer|1968-01-01T00:00:00Z|false
Q547794|http://www.wikidata.org/entity/Q547794|Richard Ford|http://commons.wikimedia.org/wiki/Special:FilePath/Richard%20Ford%20sept%202013.jpg|male|United States of America|https://en.wikipedia.org/wiki/Richard_Ford|n80113050|American novelist and short story writer|1944-02-16T00:00:00Z|true
Q470758|http://www.wikidata.org/entity/Q470758|Colm Tóibín|http://commons.wikimedia.org/wiki/Special:FilePath/Colm%20toibin%202006.jpg|male|Ireland|https://en.wikipedia.org/wiki/Colm_T%C3%B3ib%C3%ADn|n91025439|Irish novelist and writer|1955-05-30T00:00:00Z|false
Q510320|http://www.wikidata.org/entity/Q510320|Paul Theroux|http://commons.wikimedia.org/wiki/Special:FilePath/PaulTheroux%202008Sep.jpg|male|United States of America|https://en.wikipedia.org/wiki/Paul_Theroux|n79064834|American travel writer and novelist|1941-04-10T00:00:00Z|false
Q548345|http://www.wikidata.org/entity/Q548345|John O'Hara|http://commons.wikimedia.org/wiki/Special:FilePath/John%20O%27Hara%20cph.3b08576.jpg|male|United States of America|https://en.wikipedia.org/wiki/John_O%27Hara|n79060653|American journalist|1905-01-31T00:00:00Z|false
